"Input","Output","InputBytes","OutputBytes","SavedPercent","Status"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_denoise-PA\env_id_heatmap.webp","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_denoise-PA\env_id_heatmap.webp.jxl","12294","20041","-63.01","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_denoise-PA\mic_id_correlation.png","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_denoise-PA\mic_id_correlation.png.jxl","97909","74551","23.86","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_denoise-PA\mic_id_correlation.webp","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_denoise-PA\mic_id_correlation.webp.jxl","8400","18458","-119.74","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_denoise-PA\mic_id_heatmap.png","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_denoise-PA\mic_id_heatmap.png.jxl","94992","61149","35.63","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_denoise-PA\mic_id_heatmap.webp","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_denoise-PA\mic_id_heatmap.webp.jxl","11706","18693","-59.69","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_denoise-PA\roc_curve.png","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_denoise-PA\roc_curve.png.jxl","191526","138751","27.56","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_denoise-PA\roc_curve.webp","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_denoise-PA\roc_curve.webp.jxl","15956","23938","-50.03","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_denoise-PA\room_id_correlation.png","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_denoise-PA\room_id_correlation.png.jxl","94320","85328","9.53","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_denoise-PA\room_id_correlation.webp","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_denoise-PA\room_id_correlation.webp.jxl","9130","20109","-120.25","ok"
"G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_denoise-PA\room_id_heatmap.png","G:\My Drive\Web\memo\memosite.jp\public_html\voice\images\SafeEar\training_on_J-SpAW-LA\testing_on_denoise-PA\room_id_heatmap.png.jxl","90218","60182","33.29","ok"
